Guesses,Time,Wordle,FinalWord,Matching,TotalTime
6,0.13140320777893066,inter,inter,True,
5,0.10667800903320312,cluck,cluck,True,
4,0.1104891300201416,sulky,sulky,True,
4,0.10272097587585449,shrub,shrub,True,
3,0.10499882698059082,spade,spade,True,
4,0.11012101173400879,glory,glory,True,
5,0.13149213790893555,aside,aside,True,
6,0.1348128318786621,tangy,rangy,False,
3,0.09696793556213379,egret,egret,True,
5,0.10962772369384766,usual,usual,True,
3,0.1039421558380127,spicy,spicy,True,
5,0.09957122802734375,larva,larva,True,
6,0.1285538673400879,farce,farce,True,
3,0.10110592842102051,swirl,swirl,True,
5,0.11495184898376465,crimp,crimp,True,
2,0.09814286231994629,amber,amber,True,
4,0.09951305389404297,marry,marry,True,
5,0.11734771728515625,feign,feign,True,
5,0.11789989471435547,dream,dream,True,
3,0.10070610046386719,drink,drink,True,
6,0.1224057674407959,major,major,True,
4,0.11233115196228027,opera,opera,True,
5,0.09068965911865234,cacao,cacao,True,
6,0.1087040901184082,booby,booby,True,
4,0.10229206085205078,roomy,roomy,True,
4,0.11748886108398438,inept,inept,True,
4,0.10799479484558105,sugar,sugar,True,
5,0.11110615730285645,aglow,aglow,True,
5,0.11672306060791016,equal,equal,True,
4,0.11761307716369629,pluck,pluck,True,
3,0.10915207862854004,golem,golem,True,
6,0.12972187995910645,brink,brink,True,
5,0.10639095306396484,flood,flood,True,
4,0.1085207462310791,trace,trace,True,
5,0.10925889015197754,human,human,True,
4,0.10494589805603027,stock,stock,True,
5,0.1212160587310791,trove,trove,True,
5,0.10918903350830078,salad,salad,True,
3,0.10694026947021484,ranch,ranch,True,
4,0.1058497428894043,trawl,trawl,True,
4,0.09904980659484863,kebab,kebab,True,
6,0.13828182220458984,round,round,True,
6,0.13887786865234375,bench,bench,True,
4,0.1033940315246582,apple,apple,True,
3,0.10091900825500488,study,study,True,
4,0.1053471565246582,bayou,bayou,True,
5,0.12299275398254395,blush,blush,True,
5,0.1251821517944336,metal,metal,True,
2,0.09627795219421387,renew,renew,True,
3,0.09712004661560059,ennui,ennui,True,
4,0.1059720516204834,peach,peach,True,
4,0.11278700828552246,plunk,plunk,True,
5,0.10278868675231934,plaza,plaza,True,
5,0.12494587898254395,metro,metro,True,
4,0.11196303367614746,unite,unite,True,
3,0.09771490097045898,ivory,ivory,True,
4,0.11163806915283203,whine,whine,True,
